収集日,2025-09-09

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21999,14800,49999,21
バトルパートナーズ BOX,11500,9222,20800,25
ロケット団の栄光 BOX,11111,9500,36999,25
熱風のアリーナ BOX,13000,10000,38999,23
超電ブレイカー BOX,17000,14800,44444,15
