収集日,2026-01-02

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15990,12900,30000,18
バトルパートナーズ BOX,11556,8000,29500,20
ロケット団の栄光 BOX,14666,6500,29999,18
熱風のアリーナ BOX,16300,10000,45000,16
超電ブレイカー BOX,18750,6499,26999,6
