収集日,2025-06-14

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21056,9500,40000,24
バトルパートナーズ BOX,12000,7800,39999,21
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,データなし,N/A,N/A,0
