収集日,2025-08-30

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,24999,15000,48000,15
バトルパートナーズ BOX,13000,8888,22222,23
ロケット団の栄光 BOX,11000,9783,25000,24
熱風のアリーナ BOX,12475,9999,35999,22
超電ブレイカー BOX,15944,12450,44444,14
