収集日,2026-01-05

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,17000,13333,28000,16
バトルパートナーズ BOX,12000,6999,29500,25
ロケット団の栄光 BOX,14222,6500,29999,22
熱風のアリーナ BOX,17400,6300,47999,16
超電ブレイカー BOX,21469,6499,37500,6
