収集日,2025-07-07

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,13400,11500,33000,18
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,11000,8888,20800,22
超電ブレイカー BOX,データなし,N/A,N/A,0
