収集日,2025-09-10

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16844,14999,29999,20
バトルパートナーズ BOX,10750,7800,32999,24
ロケット団の栄光 BOX,10555,5700,20990,25
熱風のアリーナ BOX,12695,9500,32999,22
超電ブレイカー BOX,17894,14800,44444,10
