収集日,2025-05-19

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,13999,12777,29999,18
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,22500,8888,41299,16
