収集日,2025-07-28

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21000,11500,40000,16
バトルパートナーズ BOX,12000,9000,20999,19
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,データなし,N/A,N/A,0
