収集日,2025-06-08

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,16950,9460,47000,22
ロケット団の栄光 BOX,17080,11999,45000,23
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,20700,9499,40444,19
