収集日,2025-07-09

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,12500,10980,32400,24
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,12500,10500,27000,19
