収集日,2025-10-22

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15555,9444,31599,23
バトルパートナーズ BOX,10950,5888,24333,24
ロケット団の栄光 BOX,11100,5799,15999,13
熱風のアリーナ BOX,12750,9600,29800,18
超電ブレイカー BOX,22944,15000,44444,4
