収集日,2025-08-01

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,12000,8700,25800,25
ロケット団の栄光 BOX,13000,10000,36480,19
熱風のアリーナ BOX,11000,9000,16000,18
超電ブレイカー BOX,データなし,N/A,N/A,0
