収集日,2025-05-26

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,23000,10300,42000,20
バトルパートナーズ BOX,10555,7999,32222,19
ロケット団の栄光 BOX,15906,12500,36000,18
熱風のアリーナ BOX,12350,9199,32222,20
超電ブレイカー BOX,18000,9380,36000,17
