収集日,2025-12-04

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,14500,9400,28000,17
バトルパートナーズ BOX,9500,8500,25999,25
ロケット団の栄光 BOX,13333,11400,39000,23
熱風のアリーナ BOX,14628,10000,38000,24
超電ブレイカー BOX,15300,6499,26999,6
