収集日,2025-09-28

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16740,13300,30900,16
バトルパートナーズ BOX,10500,7000,34999,19
ロケット団の栄光 BOX,10750,9000,33000,24
熱風のアリーナ BOX,12278,10000,37500,20
超電ブレイカー BOX,18888,14800,49480,9
