収集日,2025-05-04

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,18650,11000,34490,18
バトルパートナーズ BOX,10950,8000,39999,24
ロケット団の栄光 BOX,16400,14600,28888,19
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,18500,9100,40444,21
