収集日,2025-09-04

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,18500,14222,49999,15
バトルパートナーズ BOX,12999,9980,38500,25
ロケット団の栄光 BOX,11000,5800,22000,23
熱風のアリーナ BOX,12392,10000,35999,24
超電ブレイカー BOX,16666,13999,28999,11
