収集日,2025-10-01

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15900,13999,37500,19
バトルパートナーズ BOX,12600,7000,33555,20
ロケット団の栄光 BOX,10000,9100,28000,24
熱風のアリーナ BOX,12516,9990,35999,20
超電ブレイカー BOX,16233,14980,31111,10
