収集日,2025-05-18

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21750,11777,37300,18
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,14310,13500,29000,18
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,22500,9999,41999,16
