収集日,2025-12-07

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,13750,12555,27000,16
バトルパートナーズ BOX,11000,8500,26000,25
ロケット団の栄光 BOX,12300,8000,15300,11
熱風のアリーナ BOX,15000,10000,39999,21
超電ブレイカー BOX,18744,6499,32000,8
