収集日,2025-06-25

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,20000,11800,37300,20
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,データなし,N/A,N/A,0
