収集日,2025-05-16

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,22000,11300,35000,24
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,14999,13333,29999,23
熱風のアリーナ BOX,16000,9333,32222,21
超電ブレイカー BOX,25800,9500,39699,15
