収集日,2025-09-03

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,30000,14800,49999,15
バトルパートナーズ BOX,12999,9460,38900,25
ロケット団の栄光 BOX,11750,7499,25000,22
熱風のアリーナ BOX,12500,9975,35999,19
超電ブレイカー BOX,14950,13500,28999,10
