収集日,2025-07-01

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,13250,11100,34000,18
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,13333,11900,32222,24
熱風のアリーナ BOX,11111,8700,25999,21
超電ブレイカー BOX,21600,10500,46500,17
