収集日,2025-10-14

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16283,9500,24444,18
バトルパートナーズ BOX,11500,7000,24333,24
ロケット団の栄光 BOX,12000,8480,21600,23
熱風のアリーナ BOX,13578,9700,28900,18
超電ブレイカー BOX,16533,14700,31111,10
