収集日,2025-08-20

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,10990,9400,32500,24
熱風のアリーナ BOX,11256,9800,24999,24
超電ブレイカー BOX,データなし,N/A,N/A,0
