収集日,2025-06-11

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,22055,11500,39999,16
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,16800,12000,37300,25
熱風のアリーナ BOX,10750,8333,36000,20
超電ブレイカー BOX,11425,9000,32000,22
