収集日,2025-10-05

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15000,13500,25555,18
バトルパートナーズ BOX,12600,7000,34999,24
ロケット団の栄光 BOX,10000,8980,30000,25
熱風のアリーナ BOX,12800,10999,29900,11
超電ブレイカー BOX,18888,15000,44444,7
