収集日,2025-07-16

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,12000,8500,27800,19
ロケット団の栄光 BOX,12800,11999,33000,19
熱風のアリーナ BOX,11900,8999,23999,16
超電ブレイカー BOX,データなし,N/A,N/A,0
