収集日,2025-10-24

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15555,9399,30000,24
バトルパートナーズ BOX,9999,5888,24333,25
ロケット団の栄光 BOX,13500,6500,17000,23
熱風のアリーナ BOX,13000,9600,29600,19
超電ブレイカー BOX,17777,15000,31111,8
