収集日,2025-09-16

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15000,13800,27499,17
バトルパートナーズ BOX,11250,7000,19999,24
ロケット団の栄光 BOX,10222,8980,22000,24
熱風のアリーナ BOX,12278,9200,35999,20
超電ブレイカー BOX,16300,13999,44444,14
