収集日,2025-06-19

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,13916,12000,33333,24
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,12499,9299,36999,23
