収集日,2025-12-12

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,14000,12750,36000,18
バトルパートナーズ BOX,10500,8500,25499,24
ロケット団の栄光 BOX,13000,11200,16800,22
熱風のアリーナ BOX,16550,10000,39999,20
超電ブレイカー BOX,17300,6499,20400,6
