収集日,2025-06-21

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,データなし,N/A,N/A,0
バトルパートナーズ BOX,14178,7888,47000,20
ロケット団の栄光 BOX,13000,11000,32999,19
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,12800,9888,36999,21
