収集日,2025-09-02

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,22499,14999,39999,18
バトルパートナーズ BOX,12000,9400,38900,25
ロケット団の栄光 BOX,11000,9999,25000,23
熱風のアリーナ BOX,12166,9600,35999,24
超電ブレイカー BOX,16888,12450,44444,13
