収集日,2026-01-08

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16888,14500,33333,17
バトルパートナーズ BOX,12250,6999,29500,24
ロケット団の栄光 BOX,14800,10000,29999,21
熱風のアリーナ BOX,15400,10000,36899,16
超電ブレイカー BOX,16494,6499,26999,4
