収集日,2025-12-14

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,13990,12500,26000,16
バトルパートナーズ BOX,11556,8880,25499,20
ロケット団の栄光 BOX,13000,11100,16000,22
熱風のアリーナ BOX,16100,9600,39999,17
超電ブレイカー BOX,18744,6499,26999,6
