収集日,2025-08-21

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,25400,11800,40000,16
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,10990,9400,32000,24
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,14800,6999,28999,13
