収集日,2025-07-25

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,18333,11620,39600,20
バトルパートナーズ BOX,12000,8500,37300,23
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,11600,9999,16000,21
超電ブレイカー BOX,データなし,N/A,N/A,0
