収集日,2025-06-20

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,17777,9000,35000,25
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,12750,11000,33333,18
熱風のアリーナ BOX,10000,8200,26500,25
超電ブレイカー BOX,12800,9888,36999,21
