収集日,2026-01-04

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16000,12850,31111,19
バトルパートナーズ BOX,12000,7900,29500,25
ロケット団の栄光 BOX,13999,6500,27999,21
熱風のアリーナ BOX,15000,10000,45000,18
超電ブレイカー BOX,21194,6499,29999,6
