収集日,2025-05-05

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,19000,11000,35000,17
バトルパートナーズ BOX,15850,9777,37300,18
ロケット団の栄光 BOX,16880,14777,37999,19
熱風のアリーナ BOX,13166,9400,32222,20
超電ブレイカー BOX,19000,9180,39999,20
