収集日,2025-11-26

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,13500,12000,24500,11
バトルパートナーズ BOX,10000,8888,25999,21
ロケット団の栄光 BOX,14800,10800,39000,22
熱風のアリーナ BOX,15278,10000,30998,18
超電ブレイカー BOX,17300,6499,44444,8
