収集日,2025-10-16

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16111,9500,31000,25
バトルパートナーズ BOX,10450,7000,22900,24
ロケット団の栄光 BOX,12150,6500,16800,24
熱風のアリーナ BOX,12211,9200,28900,20
超電ブレイカー BOX,18888,12222,44444,9
