収集日,2025-10-12

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,17500,9500,29999,17
バトルパートナーズ BOX,13350,7000,24333,22
ロケット団の栄光 BOX,12222,8480,22000,23
熱風のアリーナ BOX,12516,6300,33000,22
超電ブレイカー BOX,17794,14808,32000,10
