収集日,2025-07-23

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,19000,11500,39700,19
バトルパートナーズ BOX,12000,8500,34999,23
ロケット団の栄光 BOX,12800,11000,32222,23
熱風のアリーナ BOX,12000,9975,33000,19
超電ブレイカー BOX,12800,7000,35700,15
