収集日,2025-09-27

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,17500,14399,30900,23
バトルパートナーズ BOX,11200,7000,20700,25
ロケット団の栄光 BOX,10500,8200,33000,21
熱風のアリーナ BOX,12333,10000,35999,19
超電ブレイカー BOX,15200,14000,44444,11
