収集日,2025-07-30

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,17500,11620,37500,16
バトルパートナーズ BOX,12800,9000,26500,24
ロケット団の栄光 BOX,11999,10400,32222,23
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,データなし,N/A,N/A,0
