収集日,2025-08-23

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,24500,12000,30000,16
バトルパートナーズ BOX,データなし,N/A,N/A,0
ロケット団の栄光 BOX,11250,9500,31500,24
熱風のアリーナ BOX,11600,9800,27300,24
超電ブレイカー BOX,データなし,N/A,N/A,0
