収集日,2026-01-03

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15990,12850,30000,18
バトルパートナーズ BOX,12000,8555,29500,25
ロケット団の栄光 BOX,14888,6500,25999,21
熱風のアリーナ BOX,15000,10000,36500,17
超電ブレイカー BOX,19500,6499,26999,5
