収集日,2025-09-30

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15900,13999,37500,17
バトルパートナーズ BOX,10900,7000,33555,24
ロケット団の栄光 BOX,10000,8500,28000,24
熱風のアリーナ BOX,12333,9990,35999,19
超電ブレイカー BOX,16333,14900,31111,10
