収集日,2025-09-21

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15800,14000,30500,19
バトルパートナーズ BOX,11000,7000,35000,25
ロケット団の栄光 BOX,9999,8300,22000,25
熱風のアリーナ BOX,12111,8980,35999,18
超電ブレイカー BOX,15800,13999,44444,11
