収集日,2025-05-24

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21450,9999,41400,20
バトルパートナーズ BOX,10555,7999,33333,21
ロケット団の栄光 BOX,16111,12550,36000,23
熱風のアリーナ BOX,11500,8000,31999,24
超電ブレイカー BOX,18000,9000,40444,17
