収集日,2025-09-12

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,16722,14500,34800,24
バトルパートナーズ BOX,10000,7000,26899,23
ロケット団の栄光 BOX,10300,5550,12222,24
熱風のアリーナ BOX,12111,10000,25888,18
超電ブレイカー BOX,16666,14750,31111,13
