収集日,2025-05-30

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,20500,10800,41400,18
バトルパートナーズ BOX,11500,9000,39999,21
ロケット団の栄光 BOX,17080,12400,37300,23
熱風のアリーナ BOX,データなし,N/A,N/A,0
超電ブレイカー BOX,15000,8600,38999,23
