収集日,2025-07-18

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,15833,11500,39800,20
バトルパートナーズ BOX,12000,8500,32200,17
ロケット団の栄光 BOX,データなし,N/A,N/A,0
熱風のアリーナ BOX,11000,9999,20800,21
超電ブレイカー BOX,12416,11100,35700,16
