収集日,2025-05-06

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,21650,11250,34490,18
バトルパートナーズ BOX,14350,9460,39999,18
ロケット団の栄光 BOX,14999,14000,25000,21
熱風のアリーナ BOX,12511,9200,33000,20
超電ブレイカー BOX,データなし,N/A,N/A,0
