収集日,2025-11-23

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,18616,12000,36000,20
バトルパートナーズ BOX,9500,5659,26500,25
ロケット団の栄光 BOX,15997,10800,44999,21
熱風のアリーナ BOX,17000,10000,40000,17
超電ブレイカー BOX,17300,11111,26999,8
