収集日,2025-09-23

商品名,中央値価格(円),最安値,最高値,データ件数
テラスタルフェス BOX,26750,14499,43000,20
バトルパートナーズ BOX,10750,7000,18500,20
ロケット団の栄光 BOX,10361,8980,22000,24
熱風のアリーナ BOX,12333,9200,37000,15
超電ブレイカー BOX,16133,13999,44444,12
